"","Tree","DSH.in","DBH (in)","DBH.cm","Height (ft)","Ht.m"
"1",1,6.4,5.7,14.478,37.8,11.52144
"2",2,3,2.5,6.35,22.2,6.76656
"3",3,5.4,4.4,11.176,35.7,10.88136
"4",4,6.4,5.3,13.462,41.5,12.6492
"5",5,4.6,3.5,8.89,30.5,9.2964
"6",6,4.1,3.3,8.382,25,7.62
"7",7,5.3,4.8,12.192,40.5,12.3444
"8",8,5.7,4.9,12.446,43.2,13.16736
"9",9,3.5,3,7.62,22.4,6.82752
"10",10,2.3,1.7,4.318,13,3.9624
"11",11,1.3,0.6,1.524,7,2.1336
"12",12,1.7,0.9,2.286,7.8,2.37744
"13",13,2.2,1.6,4.064,16.5,5.0292
"14",14,2,1.4,3.556,12.2,3.71856
"15",15,1.6,0.9,2.286,10,3.048
"16",16,2.2,1.4,3.556,12,3.6576
"17",17,8.9,7.7,19.558,42,12.8016
"18",18,0.7,1.32776,3.3725104,3.3,1.00584
"19",19,0.9,1.53892,3.9088568,5.7,1.73736
"20",20,0.3,0.90544,2.2998176,3.6,1.09728
"21",21,0.9,1.53892,3.9088568,4.2,1.28016
"22",22,0.6,1.22218,3.1043372,3.8,1.15824
"23",23,0.5,1.1166,2.836164,2.6,0.79248
"24",24,0.6,1.22218,3.1043372,3,0.9144
"25",25,0.7,1.32776,3.3725104,3.4,1.03632
"26",26,0.4,1.01102,2.5679908,2,0.6096
"27",27,0.5,1.1166,2.836164,2.4,0.73152
"28",28,0.5,1.1166,2.836164,2.4,0.73152
"29",29,0.3,0.90544,2.2998176,2,0.6096
"30",30,0.4,1.01102,2.5679908,1.9,0.57912
"31",31,0.6,1.22218,3.1043372,3.5,1.0668
"32",32,0.8,1.43334,3.6406836,4.8,1.46304
"33",33,0.9,1.53892,3.9088568,5.2,1.58496
"34",34,1,1.6445,4.17703,5.9,1.79832
"35",35,0.9,1.53892,3.9088568,4.3,1.31064
